image,text1,text2
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1698236370555_cb3a849181c744d6a298de90d23358dc.jpg,"The image is set in an indoor photography studio with a light blue uniform background that contrasts with the outfit. The setup is minimalistic, ensuring that the focus remains entirely on the model and her dress without distractions from additional props or decorations.","The model is wearing a stylish knee-length A-line dress featuring a fitted bodice and a flared skirt, which creates a flattering silhouette. It has a round neckline with a scalloped edge and long sleeves that are fitted, providing a sleek look. The dress includes an asymmetrical design element with a decorative bow at the center, and a button placket running down the front adorned with small decorative buttons."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1698241226665_82c4f556649547ebbdb85f75374ee54c.jpg,,
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1698248069249_54a1bf257f7145a7876d774f645a5724.jpg,"The image presents an indoor library setting characterized by warm wood tones and soft white and beige accents. The background is filled with neatly arranged books on wooden shelves, creating a cozy atmosphere. A potted plant in the foreground adds a touch of greenery, enhancing the inviting feel of the scene.","The model is wearing a stylish blouse that features a regular fit silhouette with an asymmetrical design. The blouse has a square neckline that offers a modern touch, complemented by puff sleeves that create volume. The hem is ruffled, adding a playful character to the garment. The design includes a gathered waist detail for added structure."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1698249024905_61817c2a4f1b4fa28da93c0896d63753.jpg,"The image features a minimalist studio setting with a plain white backdrop, creating a clean and modern atmosphere. The absence of additional props keeps the focus on the model and the outfit, allowing for a clear visual presentation.","The model is wearing a black A-line dress that is fitted at the waist and flares gracefully down to a midi length. The dress showcases a sophisticated high neckline and regular shoulder design, complemented by long sleeves with a slight puff at the shoulders. The asymmetrical design adds a unique touch, while the lack of closures contributes to its sleek silhouette."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1698250040106_74557689b77443409abb19e2fee7a708.jpg,"The image features a minimalist studio setting with a plain white backdrop. The solid white background creates a stark contrast with the model and the outfit, ensuring that the focus remains entirely on the clothing without any distractions from props or additional decorations.","The model is wearing a black A-line dress that features a fitted silhouette with a cinched high waist and a knee-length hem. The dress has an asymmetrical design with a collarless neckline and long sleeves that are slightly gathered at the cuffs. The skirt flares out elegantly, providing a chic and modest appearance. The closure is designed with a belted feature that accentuates the waist, adding a structured yet feminine touch."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1698299866323_a042757c1f1e46fba13dada0c6b08a10.jpg,"The image shows an indoor studio setting with a plain white background, providing a clean and modern look that emphasizes the model and the outfit without any distractions.","The model is wearing a loose-fitting A-line dress with a knee-length hem and an asymmetrical design. The dress has a round neckline and short, slightly puffed sleeves. It features a regular shoulder design and does not include any visible pockets, maintaining a streamlined silhouette."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1699070442741_a6ebb2e1c11045d0a603a9f628a50449.jpg,"The scene is set in an outdoor natural landscape featuring a grassy area with trees in the background. A white trailer is visible, contributing to a relaxed and casual atmosphere. The natural green tones from the grass and trees provide a harmonious backdrop, while the bright and even natural light creates a soft shadow effect.","The model is wearing a casual olive green dress with a straight fit silhouette that falls to the knee. The dress features a square neckline and is sleeveless, emphasizing a modern and comfortable style. The design includes adjustable shoulder straps and an asymmetrical cut detail, enhancing its contemporary appeal. Two large front pockets add practicality to the dress, making it functional for everyday wear."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1699200882686_114b3936c9fb4171b5e565bec28a9b28.jpg,"The scene is set in an outdoor environment with a minimalist white wall and steps, providing a clean and bright backdrop. The natural light is evenly distributed, creating an inviting atmosphere without any distractions.","The model is wearing a vibrant green maxi dress characterized by an A-line silhouette that gently flares from the bodice to a mid-calf hem. It features a square neckline and regular shoulders, complemented by playful ruffle sleeves. The dress showcases an asymmetrical design with a tiered skirt, enhancing movement and grace."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1699935353765_659c097cafb4412b81f09d774dba9781.jpg,"The image features an outdoor setting with lush greenery in the background, complemented by a stone railing in the foreground. The scene is illuminated by natural light, creating a bright and vibrant atmosphere with a clear blue sky overhead, enhancing the overall appeal of the setting.","The model is wearing a bodycon mini dress characterized by its tight silhouette and asymmetrical design. The dress features a high neck that wraps around one shoulder, leaving the other shoulder exposed. It is sleeveless with a short hemline that ends above mid-thigh, creating a chic and flirty look. The dress also has a high-waisted fit, emphasizing the wearer's curves."
https://oss-datawork-cdn.tiangong.tech/ai_images/spider/media/1700621096433_90c191930d314cf7a5f67bc43fc13c4c.jpg,"The scene is set in an indoor photography studio with a soft light green backdrop, providing a calming and uniform background. The environment is minimalistic, without any additional props or distractions, allowing the focus to remain on the model and the outfit.","The model is dressed in a casual loose-fit T-shirt and high-waisted light cream denim pants. The T-shirt features a round neckline and straight sleeves that extend just below the elbow, with a symmetrical design showcasing bold black and white horizontal stripes. The silhouette of the top is relaxed, falling to a waist-length hem, while the pants have a fitted style that complements the top."
